Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (Hz),Motor Optical Speed (Hz),Electrical Power (W),Overall Efficiency (kgf/W),App message,
200.62719500000028,1123,,,,,23.702787103526642,0.3575350186101208,0,52.433333334382,8.47457642817113,,,
200.65205000000074,1123,,,,,23.7024699871819,0.35656898644743007,0,52.433333334382,8.45156569963008,,,
200.67591500000097,1123,,,,-0.02464740327795589,23.702643095319793,0.3568912792846412,0,52.433333334382,8.459266616715949,0.0029136572228674463,,
200.69832499999924,1123,,,,,23.702579146692198,0.3563222772703684,0,52.433333334382,8.44575697873051,,,
200.7329299999997,1123,,,,,23.702142088329495,0.35492331257353216,0,52.416666667715,8.412442785078442,,,
200.7560549999997,1123,,,,,23.70223311787785,0.35376550663398043,0,52.383333334381,8.385032507302768,,,
200.78099000000023,1123,,,,,23.702594160308827,0.35353644513229787,0,52.383333334381,8.379730879849145,,,
200.80336999999918,1123,,,,,23.7023913785822,0.3550017231616167,0,52.366666667714,8.414389782447728,,,
200.82611999999918,1123,,,,-0.0250157989407503,23.70247364050589,0.3539682499736324,0,52.33333333438,8.389923114576021,0.00298164817473592,,
200.84801999999956,1123,,,,,23.702432874993733,0.3525654639306046,0,52.33333333438,8.35665924285618,,,
200.87700999999979,1123,,,,,23.70263450994096,0.353573606913217,0,52.316666667713,8.380625977025517,,,
200.9006400000006,1123,,,,,23.702721670142232,0.35519477818493383,0,52.266666667712,8.419082966005394,,,
200.925,1123,,,,,23.70278111555635,0.35479669748956405,0,52.250000001045,8.409668461117397,,,
200.95012999999895,1123,,,,,23.702441792613936,0.35434134441295867,0,52.233333334378,8.39875509066472,,,
200.974875,1123,,,,-0.0249712870615284,23.702505252586388,0.3567967366733562,0,52.233333334378,8.456976525105908,0.002952744043618553,,
200.9981150000002,1123,,,,,23.702747539302134,0.354172338833562,0,52.250000001045,8.394857532776093,,,
201.0272349999994,1123,,,,,23.70300329727341,0.35464597213073135,0,52.250000001045,8.406174646779458,,,
201.04921499999986,1123,,,,,23.703202992865087,0.3557695934870123,0,52.250000001045,8.432878893111745,,,
201.07396499999984,1123,,,,,23.702662381157133,0.35999461903627583,0,52.266666667712,8.532830914050129,,,
201.0973599999994,1123,,,,,23.702729391228093,0.35984085825336254,0,52.300000001046,8.529210487086718,,,
201.12586000000127,1123,,,,-0.022324608533777428,23.7025695187453,0.35902059900185623,0,52.316666667713,8.509710706503077,0.002623427435284854,,
201.1506950000003,1123,,,,,23.702757594054237,0.35953668596890864,0,52.33333333438,8.522010913690643,,,
201.17350500000083,1123,,,,,23.702885578686065,0.35814654582393185,0,52.366666667714,8.489106596066302,,,
201.1964699999988,1123,,,,,23.703617916104687,0.35633016176770727,0,52.400000001048,8.446314006525506,,,
