Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),App message,
0,1060,,,,,23.776909430550134,0.19093018868320114,0,1670,4.539729803878322,,,
0,1060,,,,,23.77728594820985,0.18834889427084678,0,1672,4.478425517107068,,,
0.02735499999951571,1060,,,,0.014531584331208002,23.77697921753925,0.18937727689962236,0,1671,4.5028195771164965,0.0032272188752705253,,
0.05166000000014901,1060,,,,,23.777191010431753,0.1893137075486207,0,1670,4.50134818527657,,,
0.07615499999932945,1060,,,,,23.777512748233327,0.18768719109658577,0,1669,4.462734578979173,,,
0.10404999999981374,1060,,,,,23.777189664851083,0.18823619821143905,0,1670,4.475727786663889,,,
0.12907499999925495,1060,,,,,23.777044558996682,0.1885935358203042,0,1670,4.48419690473811,,,
0.15352999999932945,1060,,,,,23.77678080738593,0.1873799383898853,0,1670,4.455291722797782,,,
0.17977499999944122,1060,,,,0.010942054114575212,23.77683705342219,0.18808771221811652,0,1671,4.472130885161123,0.0024467204550926262,,
0.20595999999996276,1060,,,,,23.776669996048035,0.18836179113417653,0,1671,4.478616147661842,,,
0.2285800000000745,1060,,,,,23.776722385553352,0.18982382364031944,0,1671,4.513388356860115,,,
0.250429999999702,1060,,,,,23.776971290303724,0.18963871429192117,0,1671,4.50903426524912,,,
0.2795099999997765,1060,,,,,23.776976140066992,0.1907981047190497,0,1670,4.536601983474848,,,
0.3077800000002608,1060,,,,,23.777010762989914,0.19045616306198238,0,1670,4.528478239002517,,,
0.33605999999959024,1060,,,,0.009454995671802118,23.776693339641454,0.1884136996224043,0,1670,4.479854756909226,0.0021105585303228393,,
0.3653999999994412,1060,,,,,23.776961812232095,0.18793968678261577,0,1673,4.468634755633116,,,
0.394769999999553,1060,,,,,23.77695843108759,0.18530816332763456,0,1676,4.406064496382356,,,
0.43418999999947844,1060,,,,,23.77686475107176,0.18588100859618414,0,1679,4.419667601184277,,,
0.4656200000001118,1060,,,,,23.77730420427157,0.18297367645699392,0,1681,4.350620766491907,,,
0.488125,1060,,,,0.020795731565468635,23.777255982494864,0.1849725068064918,0,1681,4.398138644061729,0.004728302868202343,,
0.5291650000000373,1060,,,,,23.777183543032265,0.18547906626880062,0,1681,4.410169802063517,,,
0.5581599999992177,1060,,,,,23.77732660369477,0.18807926203140513,0,1682,4.472022040702609,,,
0.5913099999995902,1060,,,,,23.77752164301101,0.1888257378367184,0,1683,4.489808068170095,,,
0.6202350000003353,1060,,,,0.025209104365484115,23.777795925812764,0.19019264022727764,0,1685,4.522361785915735,0.0055743227894757014,,
0.651089999999851,1060,,,,,23.77778786360669,0.19082677791488328,0,1685,4.537438643955681,,,
0.6766150000002236,1060,,,,,23.777588829795974,0.1900884204226866,0,1686,4.5198443021160335,,,
0.7002649999996647,1060,,,,,23.77783865281758,0.18920364439215726,0,1685,4.498853728881789,,,
0.7315200000004843,1060,,,,,23.77760594941232,0.19304075831726136,0,1685,4.590047083443579,,,
0.8044899999992922,1060,,,,,23.777128416056378,0.19290628172799576,0,1684,4.586757432910505,,,
0.8411500000003725,1060,,,,0.027791963767696458,23.77710558610922,0.19360727906540717,0,1687,4.603420716577499,0.006037241755378579,,
0.873125,1060,,,,,23.77734488770035,0.19484662292705335,0,1692,4.63293535354025,,,
0.9013049999997019,1060,,,,,23.777522806499718,0.1942094863171816,0,1694,4.61782049014538,,,
0.929339999999851,1060,,,,0.023168253442592646,23.777845257177944,0.19482118263893042,0,1694,4.63242793360889,0.005001319777584416,,
0.9610149999996648,1060,,,,,23.777871848903796,0.19758532315446886,0,1693,4.698158493191205,,,
0.9887649999996647,1060,,,,,23.776799485703744,0.1962633791479274,0,1692,4.6665150123869195,,,
1.0460499999998136,1060,,,,,23.77715881973866,0.19577069880342146,0,1691,4.654870997700173,,,
1.1248099999995902,1060,,,,0.009613114460772825,23.777133658234362,0.19243090519961772,0,1689,4.575455352906336,0.0021010180887606213,,
1.150574999999255,1060,,,,,23.777329510211157,0.19283336007270255,0,1689,4.585062343009844,,,
1.1792349999994038,1060,,,,,23.777381423624846,0.1918023203641535,0,1690,4.560556929234765,,,
1.2157199999997392,1060,,,,,23.77770057717627,0.1894486326978793,0,1690,4.504652863045619,,,
1.2470649999994785,1060,,,,0.005992260434767433,23.777922012294052,0.18699387380209231,0,1689,4.446325748042907,0.0013476881304535513,,
1.279574999999255,1060,,,,,23.777972178688163,0.18655881351093578,0,1686,4.435990277352104,,,
1.3102749999994412,1060,,,,,23.778317441582875,0.18461463093566485,0,1683,4.389825298748905,,,
1.3400849999999627,1060,,,,,23.77796354454491,0.18396683779997763,0,1680,4.374356762613075,,,
1.3671449999995529,1060,,,,0.009673374204567396,23.777890251782537,0.18526527082488586,0,1677,4.405217277140905,0.0021958903718015143,,
1.4018999999994413,1060,,,,,23.777625774841066,0.1849838697812876,0,1676,4.3984772300413875,,,
1.4331249999990687,1060,,,,,23.77758881959567,0.18386500905811515,0,1676,4.371866583695096,,,
